QFNN256,OptimalNN256,ComputedNN256,MaxNN256
0,0.5625,0.5625,0.708134
1,0.55102,0.55102,0.673077
2,0.556122,0.556122,0.705607
3,0.556122,0.556122,0.700935
4,0.558974,0.558974,0.701422
5,0.556122,0.560209,0.695238
6,0.549223,0.549223,0.690821
7,0.573604,0.573604,0.678049
8,0.548223,0.553846,0.690476
9,0.561856,0.561856,0.698565
