QFNN512,OptimalNN512,ComputedNN512,MaxNN512
0,0.571802,0.575064,0.697842
1,0.591022,0.591022,0.674817
2,0.604592,0.604592,0.707617
3,0.598465,0.598465,0.687651
4,0.580977,0.581633,0.679104
5,0.59,0.59,0.677419
6,0.56962,0.56962,0.679426
7,0.586118,0.586118,0.682809
8,0.574413,0.585859,0.672209
9,0.600509,0.603627,0.69727
