QF3NN512,CPUTimeBFTree, CPUTimeUList
0,1060,6631
1,1052,6418
2,1059,6757
3,1056,6198
4,1957,6809
5,1058,5977
6,1043,8347
7,1591,7529
8,5643,6722
9,1329,7353
