QFNN512,OptimalNN512,ComputedNN512,MaxNN512
11,0.582474,0.613466,0.696682
12,0.592784,0.616915,0.68642
13,0.578283,0.592784,0.694915
14,0.584383,0.615,0.674938
15,0.587766,0.613636,0.690073
16,0.580808,0.602564,0.682039
17,0.579897,0.596447,0.676471
18,0.593176,0.631313,0.706897
19,0.588235,0.615764,0.678832
20,0.587766,0.643038,0.693827
