Query filter,Optimal (NN 256),Computed (NN 256),Max (NN 256)
1,0.557214,0.564356,0.682927
2,0.551546,0.551546,0.719626
3,0.56,0.57767,0.7
4,0.56701,0.572917,0.697115
5,0.579235,0.604167,0.70297
6,0.562814,0.582474,0.690476
7,0.573684,0.582888,0.725
8,0.564767,0.57868,0.710145
9,0.55122,0.592233,0.674528
10,0.571429,0.580311,0.69802
