ComplNNBFTree256,ComplNNUList256,ComplNNBFTree512,ComplNNUList512,Compl3NNBFTree256,Compl3NNUList256,Compl3NNBFTree512,Compl3NNUlist512
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
48,200,280,600,48,200,280,600
